100
9.64 32.67
11.35 32.67
13.06 32.67
14.77 32.67
14.77 34.35
14.77 36.03
14.77 37.71
13.06 37.71
11.35 37.71
9.64 37.71
9.64 36.03
9.64 34.35
57.95 43.17
60.13 43.17
62.32 43.17
64.5 43.17
64.5 46.41
64.5 49.66
57.95 49.66
57.95 46.41
94.92 30.59
61.79 45.19
66.55 11.03
76.14 10.51
77.58 10.51
79.01 10.51
80.45 10.51
81.88 10.51
83.32 10.51
83.32 12.17
83.32 13.83
83.32 15.48
83.32 17.14
83.32 18.8
81.88 18.8
80.45 18.8
79.01 18.8
77.58 18.8
76.14 18.8
76.14 17.14
76.14 15.48
76.14 13.83
76.14 12.17
40.45 12.27
39.98 9.31
39.51 6.35
39.04 3.39
38.57 0.43
15.57 23.48
16.95 26.36
18.33 29.24
19.71 32.12
55.81 5.89
54.8 8.99
52.16 10.91
48.9 10.91
46.26 8.99
45.25 5.89
46.26 2.79
48.9 0.87
52.16 0.87
54.8 2.79
33.95 42.44
35.62 42.44
37.3 42.44
38.97 42.44
40.64 42.44
40.64 43.67
40.64 44.91
40.64 46.14
40.64 47.37
38.97 47.37
37.3 47.37
35.62 47.37
33.95 47.37
33.95 46.14
33.95 44.91
33.95 43.67
48.96 41.68
51.48 39.25
54 36.82
33.04 4.18
70 20.74
76.47 36.78
8.45 33.29
4.15 19.28
99.44 26.39
38.38 0.38
41.08 19.16
60.28 41.2
25.68 28.16
62.16 32.68
92.37 48.52
77.64 22.89
79.77 20.6
81.9 18.31
84.03 16.02
7.09 28.84
4.96 31.69
2.83 34.54
