50
8.24 6.29
30.87 2.08
83.89 41.85
14.69 13.06
14.06 15.62
12.31 17.59
9.85 18.52
7.24 18.2
5.07 16.71
3.85 14.38
3.85 11.74
5.07 9.41
7.24 7.92
9.85 7.6
12.31 8.53
14.06 10.5
90.13 32.93
92.26 32.93
94.39 32.93
96.52 32.93
98.65 32.93
98.65 33.75
98.65 34.57
98.65 35.39
98.65 36.21
96.52 36.21
94.39 36.21
92.26 36.21
90.13 36.21
90.13 35.39
90.13 34.57
90.13 33.75
85.25 19.98
76.42 22.21
32.2 11.94
70.15 13.77
28 25.26
29.3 44.1
7.41 24.53
25.44 26.99
26.34 27.83
27.24 28.67
28.14 29.51
40.18 17.87
41.2 17.87
42.21 17.87
43.23 17.87
44.24 17.87
44.24 18.6
44.24 19.34
